REC_IR	STATNUM	ORI	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	IINCIDNO	INCIDDTE	DATASRC	QUARTER	TNUMVTMS	TNUMOFF	GOFFRAC	OFFCOD1	NUMVTM1	LOCCOD1	BIASMO1	OFFCOD2	NUMVTM2	LOCCOD2	BIASMO2	OFFCOD3	NUMVTM3	LOCCOD3	BIASMO3	OFFCOD4	NUMVTM4	LOCCOD4	BIASMO4	OFFCOD5	NUMVTM5	LOCCOD5	BIASMO5	OFFCOD6	NUMVTM6	LOCCOD6	BIASMO6	OFFCOD7	NUMVTM7	LOCCOD7	BIASMO7	OFFCOD8	NUMVTM8	LOCCOD8	BIASMO8	OFFCOD9	NUMVTM9	LOCCOD9	BIASMO9	OFFCOD10	NUMVTM10	LOCCOD10	BIASMO10	VTYP_I1	VTYP_B1	VTYP_F1	VTYP_G1	VTYP_R1	VTYP_S1	VTYP_O1	VTYP_U1	VTYP_I2	VTYP_B2	VTYP_F2	VTYP_G2	VTYP_R2	VTYP_S2	VTYP_O2	VTYP_U2	VTYP_I3	VTYP_B3	VTYP_F3	VTYP_G3	VTYP_R3	VTYP_S3	VTYP_O3	VTYP_U3	VTYP_I4	VTYP_B4	VTYP_F4	VTYP_G4	VTYP_R4	VTYP_S4	VTYP_O4	VTYP_U4	VTYP_I5	VTYP_B5	VTYP_F5	VTYP_G5	VTYP_R5	VTYP_S5	VTYP_O5	VTYP_U5	VTYP_I6	VTYP_B6	VTYP_F6	VTYP_G6	VTYP_R6	VTYP_S6	VTYP_O6	VTYP_U6	VTYP_I7	VTYP_B7	VTYP_F7	VTYP_G7	VTYP_R7	VTYP_S7	VTYP_O7	VTYP_U7	VTYP_I8	VTYP_B8	VTYP_F8	VTYP_G8	VTYP_R8	VTYP_S8	VTYP_O8	VTYP_U8	VTYP_I9	VTYP_B9	VTYP_F9	VTYP_G9	VTYP_R9	VTYP_S9	VTYP_O9	VTYP_U9	VTYP_I10	VTYP_B10	VTYP_F10	VTYP_G10	VTYP_R10	VTYP_S10	VTYP_O10	VTYP_U10
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYBR728	19970814	F	3	1	1	W	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYB9728	19970814	F	3	1	4	W	13C	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYBD728	19970814	F	3	1	0	U	13C	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYBH728	19970814	F	3	1	0	U	290	2	20	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYBM728	19970814	F	3	1	3	W	13A	1	25	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYB-728	19970815	F	3	1	6	W	13A	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYBV728	19970815	F	3	1	0	U	13C	1	25	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3C728	19970817	F	3	0	0	U	290	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3L728	19970817	F	3	1	0	U	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3Q728	19970817	F	3	1	0	U	13C	1	25	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3R728	19970818	F	3	1	0	U	13C	1	25	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY39728	19970820	F	3	1	0	U	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3H728	19970821	F	3	1	1	W	13C	1	25	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3M728	19970822	F	3	1	0	U	13C	1	25	25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY3-728	19970822	F	3	1	0	U	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTC728	19970825	F	3	0	0	U	290	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTL728	19970827	F	3	1	0	U	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTR728	19970829	F	3	1	0	U	120	1	25	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTD728	19970830	F	3	1	0	U	290	2	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTH728	19970830	F	3	1	0	U	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTM728	19970830	F	3	1	0	U	290	2	20	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYT-728	19970830	F	3	1	4	W	13B	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXYTV728	19970901	F	3	1	0	U	13B	1	25	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5C728	19970901	F	3	1	1	W	13B	1	25	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5L728	19970903	F	3	1	0	U	120	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5Q728	19970903	F	3	1	2	M	13C	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5R728	19970903	F	3	1	0	U	13C	1	25	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY59728	19970904	F	3	0	0	U	290	1	25	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5D728	19970905	F	3	1	0	U	290	2	20	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5H728	19970906	F	3	1	3	B	13C	1	25	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IR	31	NY0303000	19910430	 	NEW YORK CITY	NY	1A	2	1	1	Y	 	3540	 	 	 	7320477	 	607	7339594	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1997	I	I	I	I	 	 	 	 	NEW YORK	 	 	 	 	 	269TXXY5M728	19970906	F	3	1	1	W	13A	1	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
